client_id,0
cx12525,True
cx32280,True
cx00471,True
cx18876,False
cx38255,True
cx29500,True
cx37407,False
cx26218,True
cx21094,False
cx36051,False
cx38469,False
cx00609,True
cx08355,True
cx36165,False
cx15428,True
cx20077,True
cx26375,False
cx07439,True
cx33462,False
cx28170,False
cx21861,False
cx25320,False
cx04352,False
cx07853,True
cx19750,False
cx14866,False
cx34111,True
cx20311,True
cx00472,True
cx29281,True
cx38647,True
cx21522,False
cx21614,False
cx02650,True
cx00735,False
cx04161,False
cx34677,False
cx00551,False
cx12914,False
cx19753,False
cx24431,True
cx23683,True
cx15825,True
cx34517,True
cx30932,False
cx35042,False
cx21031,False
cx33224,True
cx25910,False
cx06073,True
cx25619,True
cx38285,False
cx30073,False
cx03716,False
cx15275,False
cx10027,True
cx19445,True
cx06380,True
cx02030,False
cx35109,True
cx37966,True
cx04944,False
cx04281,False
cx09288,True
cx07360,True
cx05882,True
cx00253,True
cx35757,True
cx34305,False
cx17894,True
cx32111,False
cx25198,False
cx03511,True
cx28177,False
cx02731,True
cx15051,True
cx09313,True
cx05200,False
cx08593,False
cx01468,False
cx35379,True
cx24021,True
cx38623,False
cx21115,True
cx15826,False
cx08846,False
cx22611,False
cx19825,True
cx01764,True
cx27450,True
cx02532,False
cx21128,True
cx32620,True
cx23002,True
cx11380,False
cx28030,False
cx29271,False
cx32960,False
cx34933,True
cx19601,False
cx38221,True
cx25110,True
cx14280,False
cx05947,False
cx26877,False
cx10242,True
cx30024,False
cx38587,False
cx37179,True
cx35352,False
cx30104,False
cx36990,False
cx02815,True
cx09993,True
cx01304,True
cx34222,False
cx32322,False
cx38801,True
cx23769,False
cx00622,True
cx13624,False
cx25982,True
cx12185,False
cx22390,False
cx13434,False
cx23288,True
cx03936,False
cx36075,True
cx34496,False
cx00014,False
cx07610,False
cx05220,True
cx12436,False
cx23877,False
cx32439,False
cx22927,True
cx16861,True
cx08902,False
cx06934,False
cx15047,True
cx02301,False
cx23009,True
cx06833,False
cx35793,False
cx33272,True
cx21859,True
cx22217,True
cx14130,False
cx00968,True
cx36097,True
cx22499,True
cx26883,False
cx07338,True
cx07577,True
cx38274,False
cx38217,False
cx07556,False
cx19785,True
cx34996,True
cx13261,True
cx02758,False
cx08023,False
cx35624,False
cx38243,True
cx26707,False
cx11964,False
cx31543,True
cx37281,False
cx12028,False
cx30839,False
cx33895,False
cx26978,True
cx20215,False
cx01830,False
cx06435,False
cx25701,False
cx31724,False
cx22534,False
cx38138,False
cx09551,False
cx33812,False
cx13954,False
cx21714,False
cx05342,False
cx24243,False
cx08048,False
cx00397,False
cx20657,False
cx20668,False
cx04450,False
cx23037,False
cx24521,False
cx32181,False
cx29594,True
cx17723,False
cx26428,False
cx37599,False
cx23439,True
cx00929,True
cx15277,True
cx15349,True
cx29406,True
cx11128,True
cx02609,False
cx35364,False
cx36179,False
cx04651,False
cx05326,False
cx35322,False
cx36771,True
cx21004,False
cx26921,False
cx37413,False
cx28131,False
cx28164,False
cx23163,False
cx27687,False
cx03827,False
cx33170,False
cx26284,False
cx14400,False
cx00278,True
cx34599,False
cx25083,False
cx12745,True
cx08587,True
cx36864,False
cx27457,True
cx26960,True
cx31956,False
cx31303,False
cx13608,False
cx07795,False
cx15768,True
cx07893,True
cx27344,False
cx18054,False
cx06516,False
cx07652,False
cx38753,False
cx18128,True
cx33223,False
cx26955,True
cx01053,False
cx01912,True
cx12597,False
cx20729,False
cx16802,False
cx13633,False
cx12408,False
cx11053,False
cx22414,False
cx22595,False
cx34458,False
cx15487,False
cx14849,False
cx28897,False
cx08708,False
cx25125,False
cx16550,True
cx17984,True
cx10232,False
cx04700,False
cx30017,False
cx17688,False
cx19352,False
cx14439,False
cx23375,True
cx26403,False
cx00466,False
cx32314,True
cx10227,False
cx11467,True
cx38482,True
cx13659,False
cx02555,True
cx30594,False
cx32362,False
cx31574,True
cx16819,False
cx04046,False
cx35707,False
cx02139,True
cx09862,True
cx25063,False
cx37126,True
cx02134,False
cx21598,True
cx35319,False
cx05743,False
cx38428,False
cx10602,False
cx09929,True
cx30214,False
cx21764,False
cx37174,False
cx24535,False
cx25624,True
cx06276,False
cx27283,False
cx03738,False
cx22063,False
cx26780,False
cx24166,False
cx36486,True
cx17599,False
cx34671,True
cx21507,False
cx09059,False
cx13650,False
cx27900,False
cx13913,True
cx16799,False
cx23171,False
cx26660,False
cx17627,False
cx11271,True
cx08212,True
cx14161,False
cx11471,False
cx19627,False
cx03876,False
cx36416,False
cx30236,False
cx30340,False
cx14184,True
cx23949,False
cx27314,False
cx12139,True
cx13695,False
cx12638,True
cx14613,False
cx08687,True
cx10920,True
cx16306,True
cx14421,True
cx25250,False
cx37794,False
cx13034,False
cx11061,True
cx06391,True
cx22172,False
cx09017,False
cx29628,True
cx24007,False
cx15309,True
cx16658,True
cx20491,False
cx24089,False
cx16616,False
cx08148,True
cx29344,False
cx09903,True
cx13809,False
cx34238,False
cx10428,False
cx28607,True
cx33866,False
cx21978,False
cx32351,False
cx35001,False
cx03002,False
cx17527,False
cx20008,False
cx24081,True
cx20073,True
cx31263,True
cx07071,True
cx26448,True
cx14687,True
cx21588,True
cx05389,False
cx31879,True
cx03278,True
cx19721,False
cx10116,False
cx29251,True
cx16852,False
cx31850,False
cx02916,False
cx23836,False
cx35027,False
cx36161,True
cx37783,True
cx24433,False
cx06586,False
cx04922,True
cx33590,False
cx22717,False
cx00076,True
cx35513,True
cx33912,True
cx33856,True
cx00709,False
cx23234,True
cx27102,True
cx25625,True
cx33209,False
cx19145,False
cx02526,False
cx16187,False
cx29208,False
cx08117,False
cx00897,True
cx19502,True
cx06484,True
cx29871,False
cx05763,False
cx21813,True
cx25517,False
cx08405,False
cx17419,False
cx21841,False
cx22852,False
cx28654,True
cx06758,True
cx34261,False
cx13625,False
cx27670,False
cx04286,False
cx00252,False
cx37069,False
cx26683,False
cx37497,True
cx30570,False
cx33748,False
cx25205,False
cx02623,True
cx07603,False
cx34202,False
cx07687,False
cx18469,True
cx03357,False
cx34704,False
cx11417,False
cx25816,True
cx02542,True
cx30278,True
cx18680,True
